instant;dteday;season;year;month;hours;holiday;a_week;weather_situation;temp;atemp;humidity;wind_speed;casual;registered;count_cr;category_days;humidity_category
18;01/01/2011;Spring;2011;Jan;17;0;Saturday;Misty;18.04;21.97;82.0;190.012;15;52;67;weekend;Lembab
19;01/01/2011;Spring;2011;Jan;18;0;Saturday;Light_Rainsnow;17.22;21.21;88.0;16.997.899.999.999.900;9;26;35;weekend;Lembab
20;01/01/2011;Spring;2011;Jan;19;0;Saturday;Light_Rainsnow;17.22;21.21;88.0;16.997.899.999.999.900;6;31;37;weekend;Lembab
21;01/01/2011;Spring;2011;Jan;20;0;Saturday;Misty;16.400.000.000.000.000;20.455.000.000.000.000;87.0;16.997.899.999.999.900;11;25;36;weekend;Lembab
22;01/01/2011;Spring;2011;Jan;21;0;Saturday;Misty;16.400.000.000.000.000;20.455.000.000.000.000;87.0;12.998.000.000.000.000;3;31;34;weekend;Lembab
23;01/01/2011;Spring;2011;Jan;22;0;Saturday;Misty;16.400.000.000.000.000;20.455.000.000.000.000;94.0;15.001.299.999.999.900;11;17;28;weekend;Lembab
24;01/01/2011;Spring;2011;Jan;23;0;Saturday;Misty;18.86;22.725;88.0;19.999.499.999.999.900;15;24;39;weekend;Lembab
25;02/01/2011;Spring;2011;Jan;0;0;Sunday;Misty;18.86;22.725;88.0;19.999.499.999.999.900;4;13;17;weekend;Lembab
26;02/01/2011;Spring;2011;Jan;1;0;Sunday;Misty;18.04;21.97;94.0;16.997.899.999.999.900;1;16;17;weekend;Lembab
27;02/01/2011;Spring;2011;Jan;2;0;Sunday;Misty;17.22;21.21;100.0;190.012;1;8;9;weekend;Lembab
28;02/01/2011;Spring;2011;Jan;3;0;Sunday;Misty;18.86;22.725;94.0;12.998.000.000.000.000;2;4;6;weekend;Lembab
29;02/01/2011;Spring;2011;Jan;4;0;Sunday;Misty;18.86;22.725;94.0;12.998.000.000.000.000;2;1;3;weekend;Lembab
30;02/01/2011;Spring;2011;Jan;6;0;Sunday;Light_Rainsnow;17.22;21.21;77.0;19.999.499.999.999.900;0;2;2;weekend;Lembab
31;02/01/2011;Spring;2011;Jan;7;0;Sunday;Misty;16.400.000.000.000.000;20.455.000.000.000.000;76.0;12.998.000.000.000.000;0;1;1;weekend;Lembab
32;02/01/2011;Spring;2011;Jan;8;0;Sunday;Light_Rainsnow;16.400.000.000.000.000;20.455.000.000.000.000;71.0;15.001.299.999.999.900;0;8;8;weekend;Lembab
33;02/01/2011;Spring;2011;Jan;9;0;Sunday;Misty;15.58;19.695;76.0;15.001.299.999.999.900;1;19;20;weekend;Lembab
34;02/01/2011;Spring;2011;Jan;10;0;Sunday;Misty;14.76;17.424.999.999.999.900;81.0;15.001.299.999.999.900;7;46;53;weekend;Lembab
35;02/01/2011;Spring;2011;Jan;11;0;Sunday;Misty;14.76;16.665;71.0;16.997.899.999.999.900;16;54;70;weekend;Lembab
36;02/01/2011;Spring;2011;Jan;12;0;Sunday;Misty;14.76;16.665;66.0;19.999.499.999.999.900;20;73;93;weekend;Lembab
37;02/01/2011;Spring;2011;Jan;13;0;Sunday;Misty;14.76;17.424.999.999.999.900;66.0;89.981;11;64;75;weekend;Lembab
38;02/01/2011;Spring;2011;Jan;14;0;Sunday;Light_Rainsnow;14.76;17.424.999.999.999.900;76.0;12.998.000.000.000.000;4;55;59;weekend;Lembab
39;02/01/2011;Spring;2011;Jan;15;0;Sunday;Light_Rainsnow;13.940.000.000.000.000;16.665;81.0;110.014;19;55;74;weekend;Lembab
40;02/01/2011;Spring;2011;Jan;16;0;Sunday;Light_Rainsnow;13.940.000.000.000.000;16.665;71.0;110.014;9;67;76;weekend;Lembab
41;02/01/2011;Spring;2011;Jan;17;0;Sunday;Clear;13.940.000.000.000.000;16.665;5.699.999.999.999.990;12.998.000.000.000.000;7;58;65;weekend;Ideal
42;02/01/2011;Spring;2011;Jan;18;0;Sunday;Misty;14.76;16.665;46.0;220.028;10;43;53;weekend;Ideal
43;02/01/2011;Spring;2011;Jan;19;0;Sunday;Clear;13.120.000.000.000.000;14.395;42.0;30.002.599.999.999.900;1;29;30;weekend;Kering
44;02/01/2011;Spring;2011;Jan;20;0;Sunday;Clear;12.299.999.999.999.900;13.635;39.0;239.994;5;17;22;weekend;Kering
45;02/01/2011;Spring;2011;Jan;21;0;Sunday;Clear;10.66;11.365;44.0;220.028;11;20;31;weekend;Kering
46;02/01/2011;Spring;2011;Jan;22;0;Sunday;Clear;9.84;10.605;44.0;19.999.499.999.999.900;0;9;9;weekend;Kering
47;02/01/2011;Spring;2011;Jan;23;0;Sunday;Clear;9.02;11.365;47.0;110.014;0;8;8;weekend;Ideal
48;03/01/2011;Spring;2011;Jan;0;0;Monday;Clear;9.02;9.85;44.0;239.994;0;5;5;weekdays;Kering
49;03/01/2011;Spring;2011;Jan;1;0;Monday;Clear;8.200.000.000.000.000;8.334.999.999.999.990;44.0;27.999.299.999.999.900;0;2;2;weekdays;Kering
50;03/01/2011;Spring;2011;Jan;4;0;Monday;Clear;65.600.000.000.000.000;6.819.999.999.999.990;47.0;260.027;0;1;1;weekdays;Ideal
51;03/01/2011;Spring;2011;Jan;5;0;Monday;Clear;65.600.000.000.000.000;6.819.999.999.999.990;47.0;190.012;0;3;3;weekdays;Ideal
52;03/01/2011;Spring;2011;Jan;6;0;Monday;Clear;5.74;5.305;50.0;260.027;0;30;30;weekdays;Ideal
53;03/01/2011;Spring;2011;Jan;7;0;Monday;Clear;5.74;6.819.999.999.999.990;50.0;12.998.000.000.000.000;1;63;64;weekdays;Ideal
54;03/01/2011;Spring;2011;Jan;8;0;Monday;Clear;5.74;60.600.000.000.000.000;50.0;190.012;1;153;154;weekdays;Ideal
55;03/01/2011;Spring;2011;Jan;9;0;Monday;Clear;65.600.000.000.000.000;6.819.999.999.999.990;43.0;260.027;7;81;88;weekdays;Kering
56;03/01/2011;Spring;2011;Jan;10;0;Monday;Clear;7.38;8.334.999.999.999.990;43.0;16.997.899.999.999.900;11;33;44;weekdays;Kering
57;03/01/2011;Spring;2011;Jan;11;0;Monday;Clear;8.200.000.000.000.000;9.09;40.0;220.028;10;41;51;weekdays;Kering
58;03/01/2011;Spring;2011;Jan;12;0;Monday;Clear;9.02;10.605;35.0;19.999.499.999.999.900;13;48;61;weekdays;Kering
59;03/01/2011;Spring;2011;Jan;13;0;Monday;Clear;9.84;10.605;35.0;190.012;8;53;61;weekdays;Kering
60;03/01/2011;Spring;2011;Jan;14;0;Monday;Clear;10.66;12.120.000.000.000.000;30.0;190.012;11;66;77;weekdays;Kering
61;03/01/2011;Spring;2011;Jan;15;0;Monday;Clear;10.66;12.120.000.000.000.000;30.0;16.997.899.999.999.900;14;58;72;weekdays;Kering
62;03/01/2011;Spring;2011;Jan;16;0;Monday;Clear;10.66;12.120.000.000.000.000;30.0;16.997.899.999.999.900;9;67;76;weekdays;Kering
63;03/01/2011;Spring;2011;Jan;17;0;Monday;Clear;9.84;11.365;30.0;15.001.299.999.999.900;11;146;157;weekdays;Kering
64;03/01/2011;Spring;2011;Jan;18;0;Monday;Clear;9.84;12.879.999.999.999.900;32.0;70.015;9;148;157;weekdays;Kering
65;03/01/2011;Spring;2011;Jan;19;0;Monday;Clear;8.200.000.000.000.000;12.879.999.999.999.900;47.0;0.0;8;102;110;weekdays;Ideal
66;03/01/2011;Spring;2011;Jan;20;0;Monday;Clear;8.200.000.000.000.000;11.365;47.0;70.015;3;49;52;weekdays;Ideal
67;03/01/2011;Spring;2011;Jan;21;0;Monday;Clear;7.38;9.85;64.0;89.981;3;49;52;weekdays;Ideal
68;03/01/2011;Spring;2011;Jan;22;0;Monday;Clear;5.74;7.575;69.0;89.981;0;20;20;weekdays;Lembab
69;03/01/2011;Spring;2011;Jan;23;0;Monday;Clear;7.38;10.605;5.500.000.000.000.000;70.015;1;11;12;weekdays;Ideal
70;04/01/2011;Spring;2011;Jan;0;0;Tuesday;Clear;65.600.000.000.000.000;9.09;5.500.000.000.000.000;70.015;0;5;5;weekdays;Ideal
71;04/01/2011;Spring;2011;Jan;1;0;Tuesday;Clear;65.600.000.000.000.000;9.09;59.0;70.015;0;2;2;weekdays;Ideal
72;04/01/2011;Spring;2011;Jan;2;0;Tuesday;Clear;5.74;7.575;63.0;89.981;0;1;1;weekdays;Ideal
73;04/01/2011;Spring;2011;Jan;4;0;Tuesday;Clear;5.74;9.09;63.0;60.032;0;2;2;weekdays;Ideal
74;04/01/2011;Spring;2011;Jan;5;0;Tuesday;Clear;4.92;7.575;68.0;70.015;0;4;4;weekdays;Lembab
75;04/01/2011;Spring;2011;Jan;6;0;Tuesday;Clear;4.92;7.575;74.0;70.015;0;36;36;weekdays;Lembab
76;04/01/2011;Spring;2011;Jan;7;0;Tuesday;Clear;4.92;7.575;74.0;89.981;2;92;94;weekdays;Lembab
77;04/01/2011;Spring;2011;Jan;8;0;Tuesday;Clear;5.74;7.575;69.0;110.014;2;177;179;weekdays;Lembab
78;04/01/2011;Spring;2011;Jan;9;0;Tuesday;Clear;65.600.000.000.000.000;7.575;64.0;15.001.299.999.999.900;2;98;100;weekdays;Ideal
79;04/01/2011;Spring;2011;Jan;10;0;Tuesday;Misty;65.600.000.000.000.000;6.819.999.999.999.990;69.0;220.028;5;37;42;weekdays;Lembab
80;04/01/2011;Spring;2011;Jan;11;0;Tuesday;Clear;9.02;10.605;51.0;19.999.499.999.999.900;7;50;57;weekdays;Ideal
81;04/01/2011;Spring;2011;Jan;12;0;Tuesday;Clear;9.02;11.365;51.0;110.014;12;66;78;weekdays;Ideal
82;04/01/2011;Spring;2011;Jan;13;0;Tuesday;Clear;9.84;11.365;5.600.000.000.000.000;12.998.000.000.000.000;18;79;97;weekdays;Ideal
83;04/01/2011;Spring;2011;Jan;14;0;Tuesday;Clear;10.66;12.879.999.999.999.900;52.0;15.001.299.999.999.900;9;54;63;weekdays;Ideal
84;04/01/2011;Spring;2011;Jan;15;0;Tuesday;Clear;11.48;13.635;52.0;16.997.899.999.999.900;17;48;65;weekdays;Ideal
85;04/01/2011;Spring;2011;Jan;16;0;Tuesday;Clear;12.299.999.999.999.900;14.395;49.0;16.997.899.999.999.900;15;68;83;weekdays;Ideal
86;04/01/2011;Spring;2011;Jan;17;0;Tuesday;Clear;11.48;13.635;48.0;15.001.299.999.999.900;10;202;212;weekdays;Ideal
87;04/01/2011;Spring;2011;Jan;18;0;Tuesday;Clear;10.66;12.879.999.999.999.900;48.0;12.998.000.000.000.000;3;179;182;weekdays;Ideal
88;04/01/2011;Spring;2011;Jan;19;0;Tuesday;Clear;9.84;12.879.999.999.999.900;48.0;70.015;2;110;112;weekdays;Ideal
89;04/01/2011;Spring;2011;Jan;20;0;Tuesday;Clear;9.84;12.879.999.999.999.900;48.0;70.015;1;53;54;weekdays;Ideal
90;04/01/2011;Spring;2011;Jan;21;0;Tuesday;Clear;9.02;13.635;64.0;0.0;0;48;48;weekdays;Ideal
91;04/01/2011;Spring;2011;Jan;22;0;Tuesday;Clear;9.02;12.879.999.999.999.900;64.0;60.032;1;34;35;weekdays;Ideal
92;04/01/2011;Spring;2011;Jan;23;0;Tuesday;Clear;8.200.000.000.000.000;11.365;69.0;60.032;2;9;11;weekdays;Lembab
93;05/01/2011;Spring;2011;Jan;0;0;Wednesday;Clear;8.200.000.000.000.000;12.879.999.999.999.900;64.0;0.0;0;6;6;weekdays;Ideal
94;05/01/2011;Spring;2011;Jan;1;0;Wednesday;Clear;65.600.000.000.000.000;9.85;74.0;60.032;0;6;6;weekdays;Lembab
95;05/01/2011;Spring;2011;Jan;2;0;Wednesday;Clear;65.600.000.000.000.000;9.85;74.0;60.032;0;2;2;weekdays;Lembab
96;05/01/2011;Spring;2011;Jan;4;0;Wednesday;Clear;9.84;11.365;48.0;15.001.299.999.999.900;0;2;2;weekdays;Ideal
97;05/01/2011;Spring;2011;Jan;5;0;Wednesday;Clear;9.02;11.365;47.0;110.014;0;3;3;weekdays;Ideal
98;05/01/2011;Spring;2011;Jan;6;0;Wednesday;Clear;8.200.000.000.000.000;9.85;47.0;15.001.299.999.999.900;0;33;33;weekdays;Ideal
99;05/01/2011;Spring;2011;Jan;7;0;Wednesday;Clear;7.38;9.09;43.0;12.998.000.000.000.000;1;87;88;weekdays;Kering
100;05/01/2011;Spring;2011;Jan;8;0;Wednesday;Clear;8.200.000.000.000.000;9.09;40.0;19.999.499.999.999.900;3;192;195;weekdays;Kering
101;05/01/2011;Spring;2011;Jan;9;0;Wednesday;Clear;9.02;9.85;37.0;220.028;6;109;115;weekdays;Kering
102;05/01/2011;Spring;2011;Jan;10;0;Wednesday;Clear;9.02;9.85;37.0;220.028;4;53;57;weekdays;Kering
103;05/01/2011;Spring;2011;Jan;11;0;Wednesday;Clear;10.66;11.365;33.0;220.028;12;34;46;weekdays;Kering
104;05/01/2011;Spring;2011;Jan;12;0;Wednesday;Clear;10.66;11.365;33.0;220.028;5;74;79;weekdays;Kering
105;05/01/2011;Spring;2011;Jan;13;0;Wednesday;Clear;11.48;12.879.999.999.999.900;30.0;19.999.499.999.999.900;6;65;71;weekdays;Kering
106;05/01/2011;Spring;2011;Jan;14;0;Wednesday;Clear;12.299.999.999.999.900;14.395;28.000.000.000.000.000;12.998.000.000.000.000;10;52;62;weekdays;Kering
107;05/01/2011;Spring;2011;Jan;15;0;Wednesday;Clear;12.299.999.999.999.900;14.395;28.000.000.000.000.000;12.998.000.000.000.000;7;55;62;weekdays;Kering
108;05/01/2011;Spring;2011;Jan;16;0;Wednesday;Clear;12.299.999.999.999.900;15.909.999.999.999.900;28.000.000.000.000.000;60.032;4;85;89;weekdays;Kering
109;05/01/2011;Spring;2011;Jan;17;0;Wednesday;Clear;9.84;11.365;38.0;12.998.000.000.000.000;4;186;190;weekdays;Kering
110;05/01/2011;Spring;2011;Jan;18;0;Wednesday;Clear;9.84;12.120.000.000.000.000;38.0;89.981;3;166;169;weekdays;Kering
111;05/01/2011;Spring;2011;Jan;19;0;Wednesday;Clear;9.84;12.879.999.999.999.900;38.0;70.015;5;127;132;weekdays;Kering
112;05/01/2011;Spring;2011;Jan;20;0;Wednesday;Clear;9.02;11.365;47.0;110.014;7;82;89;weekdays;Ideal
113;05/01/2011;Spring;2011;Jan;21;0;Wednesday;Clear;8.200.000.000.000.000;9.85;51.0;12.998.000.000.000.000;3;40;43;weekdays;Ideal
114;05/01/2011;Spring;2011;Jan;22;0;Wednesday;Clear;7.38;9.85;5.500.000.000.000.000;89.981;1;41;42;weekdays;Ideal
115;05/01/2011;Spring;2011;Jan;23;0;Wednesday;Clear;8.200.000.000.000.000;12.879.999.999.999.900;47.0;0.0;1;18;19;weekdays;Ideal
116;06/01/2011;Spring;2011;Jan;0;0;Thrusday;Clear;7.38;12.120.000.000.000.000;5.500.000.000.000.000;0.0;0;11;11;weekdays;Ideal
117;06/01/2011;Spring;2011;Jan;1;0;Thrusday;Clear;65.600.000.000.000.000;11.365;64.0;0.0;0;4;4;weekdays;Ideal
118;06/01/2011;Spring;2011;Jan;2;0;Thrusday;Clear;65.600.000.000.000.000;11.365;64.0;0.0;0;2;2;weekdays;Ideal
119;06/01/2011;Spring;2011;Jan;4;0;Thrusday;Misty;65.600.000.000.000.000;9.85;64.0;60.032;0;1;1;weekdays;Ideal
120;06/01/2011;Spring;2011;Jan;5;0;Thrusday;Misty;5.74;9.09;69.0;60.032;0;4;4;weekdays;Lembab
121;06/01/2011;Spring;2011;Jan;6;0;Thrusday;Misty;5.74;8.334.999.999.999.990;63.0;70.015;0;36;36;weekdays;Ideal
122;06/01/2011;Spring;2011;Jan;7;0;Thrusday;Misty;65.600.000.000.000.000;11.365;59.0;0.0;0;95;95;weekdays;Ideal
123;06/01/2011;Spring;2011;Jan;8;0;Thrusday;Clear;65.600.000.000.000.000;11.365;59.0;0.0;3;216;219;weekdays;Ideal
124;06/01/2011;Spring;2011;Jan;9;0;Thrusday;Misty;7.38;12.120.000.000.000.000;51.0;0.0;6;116;122;weekdays;Ideal
125;06/01/2011;Spring;2011;Jan;10;0;Thrusday;Clear;8.200.000.000.000.000;12.879.999.999.999.900;47.0;0.0;3;42;45;weekdays;Ideal
126;06/01/2011;Spring;2011;Jan;11;0;Thrusday;Clear;9.02;12.879.999.999.999.900;44.0;60.032;2;57;59;weekdays;Kering
127;06/01/2011;Spring;2011;Jan;12;0;Thrusday;Clear;10.66;14.395;35.0;0.0;6;78;84;weekdays;Kering
128;06/01/2011;Spring;2011;Jan;13;0;Thrusday;Clear;10.66;13.635;35.0;70.015;12;55;67;weekdays;Kering
129;06/01/2011;Spring;2011;Jan;14;0;Thrusday;Clear;11.48;13.635;36.0;110.014;11;59;70;weekdays;Kering
130;06/01/2011;Spring;2011;Jan;15;0;Thrusday;Clear;11.48;13.635;36.0;0.0;8;54;62;weekdays;Kering
131;06/01/2011;Spring;2011;Jan;16;0;Thrusday;Clear;10.66;12.879.999.999.999.900;38.0;110.014;12;74;86;weekdays;Kering
132;06/01/2011;Spring;2011;Jan;17;0;Thrusday;Clear;9.02;11.365;51.0;110.014;9;163;172;weekdays;Ideal
133;06/01/2011;Spring;2011;Jan;18;0;Thrusday;Clear;9.02;11.365;51.0;89.981;5;158;163;weekdays;Ideal
134;06/01/2011;Spring;2011;Jan;19;0;Thrusday;Clear;9.02;12.879.999.999.999.900;5.500.000.000.000.000;60.032;3;109;112;weekdays;Ideal
135;06/01/2011;Spring;2011;Jan;20;0;Thrusday;Clear;8.200.000.000.000.000;10.605;51.0;110.014;3;66;69;weekdays;Ideal
136;06/01/2011;Spring;2011;Jan;21;0;Thrusday;Misty;9.02;10.605;5.500.000.000.000.000;15.001.299.999.999.900;0;48;48;weekdays;Ideal
137;06/01/2011;Spring;2011;Jan;22;0;Thrusday;Misty;9.02;10.605;51.0;190.012;1;51;52;weekdays;Ideal
138;06/01/2011;Spring;2011;Jan;23;0;Thrusday;Misty;8.200.000.000.000.000;9.85;59.0;12.998.000.000.000.000;4;19;23;weekdays;Ideal
139;07/01/2011;Spring;2011;Jan;0;0;Friday;Misty;8.200.000.000.000.000;9.85;64.0;12.998.000.000.000.000;4;13;17;weekdays;Ideal
140;07/01/2011;Spring;2011;Jan;1;0;Friday;Misty;8.200.000.000.000.000;9.85;69.0;15.001.299.999.999.900;2;5;7;weekdays;Lembab
141;07/01/2011;Spring;2011;Jan;2;0;Friday;Misty;8.200.000.000.000.000;9.85;69.0;15.001.299.999.999.900;0;1;1;weekdays;Lembab
142;07/01/2011;Spring;2011;Jan;4;0;Friday;Misty;8.200.000.000.000.000;10.605;69.0;89.981;0;1;1;weekdays;Lembab
143;07/01/2011;Spring;2011;Jan;5;0;Friday;Light_Rainsnow;9.02;13.635;5.500.000.000.000.000;0.0;0;5;5;weekdays;Ideal
144;07/01/2011;Spring;2011;Jan;6;0;Friday;Misty;8.200.000.000.000.000;12.879.999.999.999.900;69.0;0.0;8;26;34;weekdays;Lembab
145;07/01/2011;Spring;2011;Jan;7;0;Friday;Clear;8.200.000.000.000.000;10.605;69.0;89.981;8;76;84;weekdays;Lembab
146;07/01/2011;Spring;2011;Jan;8;0;Friday;Clear;8.200.000.000.000.000;9.85;51.0;16.997.899.999.999.900;20;190;210;weekdays;Ideal
147;07/01/2011;Spring;2011;Jan;9;0;Friday;Clear;8.200.000.000.000.000;9.09;47.0;19.999.499.999.999.900;9;125;134;weekdays;Ideal
148;07/01/2011;Spring;2011;Jan;10;0;Friday;Clear;9.02;9.85;37.0;220.028;16;47;63;weekdays;Kering
149;07/01/2011;Spring;2011;Jan;11;0;Friday;Misty;8.200.000.000.000.000;9.85;40.0;15.001.299.999.999.900;19;48;67;weekdays;Kering
150;07/01/2011;Spring;2011;Jan;12;0;Friday;Misty;8.200.000.000.000.000;9.85;37.0;16.997.899.999.999.900;9;50;59;weekdays;Kering
151;07/01/2011;Spring;2011;Jan;13;0;Friday;Misty;8.200.000.000.000.000;9.09;37.0;190.012;9;64;73;weekdays;Kering
152;07/01/2011;Spring;2011;Jan;14;0;Friday;Misty;8.200.000.000.000.000;9.85;40.0;16.997.899.999.999.900;7;43;50;weekdays;Kering
153;07/01/2011;Spring;2011;Jan;15;0;Friday;Misty;8.200.000.000.000.000;10.605;37.0;110.014;9;63;72;weekdays;Kering
154;07/01/2011;Spring;2011;Jan;16;0;Friday;Misty;8.200.000.000.000.000;10.605;37.0;110.014;5;82;87;weekdays;Kering
155;07/01/2011;Spring;2011;Jan;17;0;Friday;Misty;8.200.000.000.000.000;12.879.999.999.999.900;37.0;0.0;9;178;187;weekdays;Kering
156;07/01/2011;Spring;2011;Jan;18;0;Friday;Clear;8.200.000.000.000.000;11.365;40.0;60.032;7;116;123;weekdays;Kering
157;07/01/2011;Spring;2011;Jan;19;0;Friday;Clear;65.600.000.000.000.000;9.85;5.500.000.000.000.000;60.032;3;92;95;weekdays;Ideal
158;07/01/2011;Spring;2011;Jan;20;0;Friday;Clear;7.38;10.605;47.0;70.015;1;50;51;weekdays;Ideal
159;07/01/2011;Spring;2011;Jan;21;0;Friday;Clear;7.38;9.85;47.0;89.981;0;39;39;weekdays;Ideal
160;07/01/2011;Spring;2011;Jan;22;0;Friday;Misty;7.38;9.85;43.0;110.014;2;34;36;weekdays;Kering
161;07/01/2011;Spring;2011;Jan;23;0;Friday;Misty;7.38;9.85;51.0;110.014;1;14;15;weekdays;Ideal
162;08/01/2011;Spring;2011;Jan;0;0;Saturday;Misty;7.38;9.85;51.0;110.014;1;24;25;weekend;Ideal
163;08/01/2011;Spring;2011;Jan;1;0;Saturday;Misty;7.38;10.605;5.500.000.000.000.000;60.032;1;15;16;weekend;Ideal
164;08/01/2011;Spring;2011;Jan;2;0;Saturday;Misty;7.38;12.120.000.000.000.000;5.500.000.000.000.000;0.0;3;13;16;weekend;Ideal
165;08/01/2011;Spring;2011;Jan;3;0;Saturday;Light_Rainsnow;7.38;9.85;5.500.000.000.000.000;110.014;0;7;7;weekend;Ideal
166;08/01/2011;Spring;2011;Jan;4;0;Saturday;Light_Rainsnow;7.38;9.85;5.500.000.000.000.000;110.014;0;1;1;weekend;Ideal
167;08/01/2011;Spring;2011;Jan;5;0;Saturday;Misty;65.600.000.000.000.000;8.334.999.999.999.990;74.0;110.014;0;5;5;weekend;Lembab
168;08/01/2011;Spring;2011;Jan;6;0;Saturday;Misty;65.600.000.000.000.000;8.334.999.999.999.990;74.0;110.014;0;2;2;weekend;Lembab
169;08/01/2011;Spring;2011;Jan;7;0;Saturday;Misty;65.600.000.000.000.000;9.09;74.0;70.015;1;8;9;weekend;Lembab
170;08/01/2011;Spring;2011;Jan;8;0;Saturday;Light_Rainsnow;65.600.000.000.000.000;9.09;93.0;70.015;0;15;15;weekend;Lembab
171;08/01/2011;Spring;2011;Jan;9;0;Saturday;Light_Rainsnow;65.600.000.000.000.000;9.09;93.0;70.015;0;20;20;weekend;Lembab
172;08/01/2011;Spring;2011;Jan;10;0;Saturday;Misty;7.38;9.85;80.0;110.014;5;56;61;weekend;Lembab
173;08/01/2011;Spring;2011;Jan;11;0;Saturday;Misty;8.200.000.000.000.000;9.09;69.0;260.027;2;60;62;weekend;Lembab
174;08/01/2011;Spring;2011;Jan;12;0;Saturday;Misty;8.200.000.000.000.000;9.09;59.0;239.994;8;90;98;weekend;Ideal
175;08/01/2011;Spring;2011;Jan;13;0;Saturday;Clear;8.200.000.000.000.000;9.09;44.0;220.028;7;95;102;weekend;Kering
176;08/01/2011;Spring;2011;Jan;14;0;Saturday;Clear;8.200.000.000.000.000;8.334.999.999.999.990;32.0;329.975;12;83;95;weekend;Kering
177;08/01/2011;Spring;2011;Jan;15;0;Saturday;Clear;8.200.000.000.000.000;8.334.999.999.999.990;32.0;30.002.599.999.999.900;5;69;74;weekend;Kering
178;08/01/2011;Spring;2011;Jan;16;0;Saturday;Clear;7.38;6.819.999.999.999.990;28.999.999.999.999.900;30.002.599.999.999.900;8;68;76;weekend;Kering
179;08/01/2011;Spring;2011;Jan;17;0;Saturday;Clear;65.600.000.000.000.000;60.600.000.000.000.000;37.0;369.974;5;64;69;weekend;Kering
180;08/01/2011;Spring;2011;Jan;18;0;Saturday;Clear;5.74;60.600.000.000.000.000;39.0;19.999.499.999.999.900;3;52;55;weekend;Kering
181;08/01/2011;Spring;2011;Jan;19;0;Saturday;Clear;5.74;60.600.000.000.000.000;36.0;16.997.899.999.999.900;4;26;30;weekend;Kering
182;08/01/2011;Spring;2011;Jan;20;0;Saturday;Clear;4.92;60.600.000.000.000.000;36.0;16.997.899.999.999.900;0;28;28;weekend;Kering
183;08/01/2011;Spring;2011;Jan;21;0;Saturday;Clear;4.92;5.305;39.0;239.994;2;35;37;weekend;Kering
184;08/01/2011;Spring;2011;Jan;22;0;Saturday;Clear;4.92;5.305;36.0;260.027;1;33;34;weekend;Kering
185;08/01/2011;Spring;2011;Jan;23;0;Saturday;Clear;41.000.000.000.000.000;30.300.000.000.000.000;39.0;30.002.599.999.999.900;0;22;22;weekend;Kering
186;09/01/2011;Spring;2011;Jan;0;0;Sunday;Clear;41.000.000.000.000.000;37.900.000.000.000.000;42.0;260.027;1;24;25;weekend;Kering
187;09/01/2011;Spring;2011;Jan;1;0;Sunday;Clear;41.000.000.000.000.000;30.300.000.000.000.000;42.0;310.009;0;12;12;weekend;Kering
