instant;dteday;season;year;month;holiday;a_week;weather_situation;temp;atemp;humidity;wind_speed;casual;registered;count_cr;category_days;humidity_category
45;14/02/2011;Spring;2011;Feb;0;Monday;Clear;17.015;199.175;37.583.299.999.999.900;27.999.836;208;1705;1913;weekdays;Kering
46;15/02/2011;Spring;2011;Feb;0;Tuesday;Clear;10.909.567.000.000.000;127.137;31.434.800.000.000.000;19.522.058;140;1675;1815;weekdays;Kering
47;16/02/2011;Spring;2011;Feb;0;Wednesday;Clear;13.048.701.000.000.000;15.809.999.999.999.900;423.478;16.869.996.999.999.900;218;1897;2115;weekdays;Kering
48;17/02/2011;Spring;2011;Feb;0;Thrusday;Clear;17.869.153;214.329;50.5;15.416.968;259;2216;2475;weekdays;Ideal
49;18/02/2011;Spring;2011;Feb;0;Friday;Clear;21.388.347;25.599.149.999.999.900;516.667;17.749.975.000.000.000;579;2348;2927;weekdays;Ideal
50;19/02/2011;Spring;2011;Feb;0;Saturday;Clear;16.365.847;195.702;187.917;34.000.021;532;1103;1635;weekend;Kering
51;20/02/2011;Spring;2011;Feb;0;Sunday;Clear;11.693.897;138.665;407.826;14.956.745;639;1173;1812;weekend;Kering
52;21/02/2011;Spring;2011;Feb;1;Monday;Misty;12.436.653.000.000.000;14.203.750.000.000.000;60.5;20.625.682;195;912;1107;weekdays;Ideal
53;22/02/2011;Spring;2011;Feb;0;Tuesday;Clear;7.471.102;930.165;577.778;13.110.761;74;1376;1450;weekdays;Ideal
54;23/02/2011;Spring;2011;Feb;0;Wednesday;Clear;9.091.299;1.228.585;423.043;63.055.710.000.000.000;139;1778;1917;weekdays;Kering
55;24/02/2011;Spring;2011;Feb;0;Thrusday;Misty;12.121.732.000.000.000;14.459.549.999.999.900;697.391;16.783.231.999.999.900;100;1707;1807;weekdays;Lembab
56;25/02/2011;Spring;2011;Feb;0;Friday;Misty;14.938.268;1.752.305;712.174;23.218.113;120;1341;1461;weekdays;Lembab
57;26/02/2011;Spring;2011;Feb;0;Saturday;Clear;115.825;141.096;537.917;12.500.257;424;1545;1969;weekend;Ideal
58;27/02/2011;Spring;2011;Feb;0;Sunday;Clear;14.082.598;1.755.545;68.0;8.391.615.999.999.990;694;1708;2402;weekend;Lembab
59;28/02/2011;Spring;2011;Feb;0;Monday;Misty;16.698.193;20.005.899.999.999.900;8.763.640.000.000.000;19.408.962;81;1365;1446;weekdays;Lembab
60;01/03/2011;Spring;2011;Mar;0;Tuesday;Clear;10.933.347;1.319.395;53.5;14.500.475;137;1714;1851;weekdays;Ideal
61;02/03/2011;Spring;2011;Mar;0;Wednesday;Clear;13.735.000.000.000.000;1.600.355;449.583;20.624.811;231;1903;2134;weekdays;Kering
62;03/03/2011;Spring;2011;Mar;0;Thrusday;Clear;8.131.653;1.000.665;31.833.299.999.999.900;15.125.518.000.000.000;123;1562;1685;weekdays;Kering
63;04/03/2011;Spring;2011;Mar;0;Friday;Misty;10.728.347;12.783.949.999.999.900;610.417;13.624.182;214;1730;1944;weekdays;Ideal
64;05/03/2011;Spring;2011;Mar;0;Saturday;Misty;15.750.846.999.999.900;1.893.895;7.891.669.999.999.990;16.875.357;640;1437;2077;weekend;Lembab
65;06/03/2011;Spring;2011;Mar;0;Sunday;Misty;15.437.402;183.126;948.261;23.000.229;114;491;605;weekend;Lembab
66;07/03/2011;Spring;2011;Mar;0;Monday;Clear;10.731.299;1.192.305;551.304;22.870.584;244;1628;1872;weekdays;Ideal
67;08/03/2011;Spring;2011;Mar;0;Tuesday;Clear;119.925;15.120.000.000.000.000;420.833;8.083.549.999.999.990;316;1817;2133;weekdays;Kering
68;09/03/2011;Spring;2011;Mar;0;Wednesday;Misty;12.129.153;143.304;775.417;14.750.050.000.000.000;191;1700;1891;weekdays;Lembab
69;10/03/2011;Spring;2011;Mar;0;Thrusday;Light_Rainsnow;15.952.731;192.834;0.0;17.545.759;46;577;623;weekdays;Kering
70;11/03/2011;Spring;2011;Mar;0;Friday;Misty;12.977.402.000.000.000;15.25;6.495.649.999.999.990;1.560.899;247;1730;1977;weekdays;Ideal
71;12/03/2011;Spring;2011;Mar;0;Saturday;Clear;13.495.847;16.287.499.999.999.900;59.458.299.999.999.900;14.791.924.999.999.900;724;1408;2132;weekend;Ideal
72;13/03/2011;Spring;2011;Mar;0;Sunday;Clear;15.758.268.000.000.000;19.004.550.000.000.000;5.273.910.000.000.000;18.130.468;982;1435;2417;weekend;Ideal
73;14/03/2011;Spring;2011;Mar;0;Monday;Clear;13.333.896.999.999.900;16.6;49.695.699.999.999.900;9.174.042;359;1687;2046;weekdays;Ideal
74;15/03/2011;Spring;2011;Mar;0;Tuesday;Misty;13.013.031;15.908.900.000.000.000;655.652;12.348.703;289;1767;2056;weekdays;Lembab
75;16/03/2011;Spring;2011;Mar;0;Wednesday;Misty;14.973.897.000.000.000;183.465;7.765.220.000.000.000;13.608.839;321;1871;2192;weekdays;Lembab
76;17/03/2011;Spring;2011;Mar;0;Thrusday;Clear;17.015;2.051.665;60.291.700.000.000.000;14.041.792.999.999.900;424;2320;2744;weekdays;Ideal
77;18/03/2011;Spring;2011;Mar;0;Friday;Clear;22.14;2.635.045;525.217;15.478.139;884;2355;3239;weekdays;Ideal
78;19/03/2011;Spring;2011;Mar;0;Saturday;Clear;193.725;2.332.625;379.167;24.667.189;1424;1693;3117;weekend;Kering
79;20/03/2011;Spring;2011;Mar;0;Sunday;Clear;136.325;16.287.499.999.999.900;47.375;13.917.307;1047;1424;2471;weekend;Ideal
80;21/03/2011;Summer;2011;Mar;0;Monday;Misty;17.647.835;2.048.675;7.373.910.000.000.000;19.348.461;401;1676;2077;weekdays;Lembab
81;22/03/2011;Summer;2011;Mar;0;Tuesday;Clear;18.108.347;220.321;624.583;15.125.250.000.000.000;460;2243;2703;weekdays;Ideal
82;23/03/2011;Summer;2011;Mar;0;Wednesday;Misty;14.225.237;1.689.695;839.565;15.695.487;203;1918;2121;weekdays;Lembab
83;24/03/2011;Summer;2011;Mar;0;Thrusday;Misty;11.684.999.999.999.900;13.541.649.999.999.900;8.058.330.000.000.000;16.333.729;166;1699;1865;weekdays;Lembab
84;25/03/2011;Summer;2011;Mar;0;Friday;Clear;10.830.846.999.999.900;128.156;49.5;15.458.575.000.000.000;300;1910;2210;weekdays;Ideal
85;26/03/2011;Summer;2011;Mar;0;Saturday;Clear;10.899.153;1.287.855;394.167;14.041.257;981;1515;2496;weekend;Kering
86;27/03/2011;Summer;2011;Mar;0;Sunday;Misty;10.374.763.000.000.000;1.251.695;493.913;12.348.099.999.999.900;472;1221;1693;weekend;Ideal
87;28/03/2011;Summer;2011;Mar;0;Monday;Clear;10.838.268.000.000.000;12.878.700.000.000.000;302.174;14.217.668;222;1806;2028;weekdays;Kering
88;29/03/2011;Summer;2011;Mar;0;Tuesday;Clear;124.025;146.454;314.167;15.208.732;317;2108;2425;weekdays;Kering
89;30/03/2011;Summer;2011;Mar;0;Wednesday;Misty;12.299.999.999.999.900;148.675;646.667;11.583.495.999.999.900;168;1368;1536;weekdays;Ideal
90;31/03/2011;Summer;2011;Mar;0;Thrusday;Light_Rainsnow;11.001.653;1.287.875;918.333;14.582.282.000.000.000;179;1506;1685;weekdays;Lembab
91;01/04/2011;Summer;2011;Apr;0;Friday;Misty;12.299.999.999.999.900;14.172.699.999.999.900;68.625;17.333.436;307;1920;2227;weekdays;Lembab
92;02/04/2011;Summer;2011;Apr;0;Saturday;Misty;12.915.000.000.000.000;1.578.185;65.375;13.208.782;898;1354;2252;weekend;Lembab
93;03/04/2011;Summer;2011;Apr;0;Sunday;Clear;15.511.652.999.999.900;1.893.835;48.0;12.208.271.000.000.000;1651;1598;3249;weekend;Ideal
94;04/04/2011;Summer;2011;Apr;0;Monday;Clear;23.506.653;2.714.645;42.625;25.833.257;734;2381;3115;weekdays;Kering
95;05/04/2011;Summer;2011;Apr;0;Tuesday;Misty;16.980.847;199.175;642.083;26.000.488.999.999.900;167;1628;1795;weekdays;Ideal
96;06/04/2011;Summer;2011;Apr;0;Wednesday;Clear;16.024.153;193.804;470.833;17.625.221;413;2395;2808;weekdays;Ideal
97;07/04/2011;Summer;2011;Apr;0;Thrusday;Clear;179.375;21.684.800.000.000.000;60.291.700.000.000.000;10.874.904;571;2570;3141;weekdays;Ideal
98;08/04/2011;Summer;2011;Apr;0;Friday;Misty;13.769.153;16.223.950.000.000.000;83.625;15.208.464;172;1299;1471;weekdays;Lembab
99;09/04/2011;Summer;2011;Apr;0;Saturday;Misty;140.425;1.707.645;87.75;8.916.561;879;1576;2455;weekend;Lembab
100;10/04/2011;Summer;2011;Apr;0;Sunday;Misty;17.493.347;2.133.685;85.75;9.833.389;1188;1707;2895;weekend;Lembab
101;11/04/2011;Summer;2011;Apr;0;Monday;Misty;24.421.732;28.260.849.999.999.900;716.956;21.739.758;855;2493;3348;weekdays;Lembab
102;12/04/2011;Summer;2011;Apr;0;Tuesday;Misty;206.025;246.527;739.167;18.416.892.999.999.900;257;1777;2034;weekdays;Lembab
103;13/04/2011;Summer;2011;Apr;0;Wednesday;Misty;16.912.499.999.999.900;20.864.150.000.000.000;8.191.669.999.999.990;16.791.338.999.999.900;209;1953;2162;weekdays;Lembab
104;14/04/2011;Summer;2011;Apr;0;Thrusday;Clear;191.675;231.371;54.041.700.000.000.000;74.169;529;2738;3267;weekdays;Ideal
105;15/04/2011;Summer;2011;Apr;1;Friday;Clear;18.313.347;2.209.565;67.125;15.167.124.999.999.900;642;2484;3126;weekdays;Lembab
106;16/04/2011;Summer;2011;Apr;0;Saturday;Light_Rainsnow;17.664.153.000.000.000;212.746;8.883.330.000.000.000;22.834.136;121;674;795;weekend;Lembab
107;17/04/2011;Summer;2011;Apr;0;Sunday;Clear;18.723.347;222.848;479.583;20.334.232;1558;2186;3744;weekend;Ideal
108;18/04/2011;Summer;2011;Apr;0;Monday;Clear;210.125;251.573;54.25;10.958.988.999.999.900;669;2760;3429;weekdays;Ideal
109;19/04/2011;Summer;2011;Apr;0;Tuesday;Misty;20.739.152.999.999.900;244.629;665.833;10.584.057;409;2795;3204;weekdays;Lembab
110;20/04/2011;Summer;2011;Apr;0;Wednesday;Clear;24.395;282.196;614.167;16.208.975;613;3331;3944;weekdays;Ideal
111;21/04/2011;Summer;2011;Apr;0;Thrusday;Clear;18.825.847;226.946;40.708.299.999.999.900;21.792.286;745;3444;4189;weekdays;Kering
112;22/04/2011;Summer;2011;Apr;0;Friday;Misty;13.803.347;160.977;729.583;14.707.906.999.999.900;177;1506;1683;weekdays;Lembab
113;23/04/2011;Summer;2011;Apr;0;Saturday;Misty;18.86;2.250.605;8.879.169.999.999.990;15.458.575.000.000.000;1462;2574;4036;weekend;Lembab
114;24/04/2011;Summer;2011;Apr;0;Sunday;Misty;23.848.347;2.758.815;8.108.330.000.000.000;12.875.725.000.000.000;1710;2481;4191;weekend;Lembab
115;25/04/2011;Summer;2011;Apr;0;Monday;Clear;24.873.347;28.725;776.667;12.417.311;773;3300;4073;weekdays;Lembab
116;26/04/2011;Summer;2011;Apr;0;Tuesday;Clear;25.898.346.999.999.900;29.704.150.000.000.000;729.167;21.875.500.000.000.000;678;3722;4400;weekdays;Lembab
117;27/04/2011;Summer;2011;Apr;0;Wednesday;Misty;25.419.999.999.999.900;287.571;8.354.169.999.999.990;20.917.399.999.999.900;547;3325;3872;weekdays;Lembab
118;28/04/2011;Summer;2011;Apr;0;Thrusday;Misty;25.317.500.000.000.000;28.946.450.000.000.000;7.008.330.000.000.000;21.500.836.000.000.000;569;3489;4058;weekdays;Lembab
119;29/04/2011;Summer;2011;Apr;0;Friday;Clear;20.91;2.487.315;457.083;16.084.221;878;3717;4595;weekdays;Ideal
120;30/04/2011;Summer;2011;Apr;0;Saturday;Clear;193.725;23.201.050.000.000.000;503.333;15.750.025;1965;3347;5312;weekend;Ideal
121;01/05/2011;Summer;2011;May;0;Sunday;Misty;18.518.347;224.102;762.083;7.125.718;1138;2213;3351;weekend;Lembab
122;02/05/2011;Summer;2011;May;0;Monday;Misty;22.515.846.999.999.900;2.664.165;73.0;12.291.418;847;3554;4401;weekdays;Lembab
123;03/05/2011;Summer;2011;May;0;Tuesday;Misty;25.283.347;2.910.395;697.083;22.958.689;603;3848;4451;weekdays;Lembab
124;04/05/2011;Summer;2011;May;0;Wednesday;Misty;16.980.847;202.325;7.370.830.000.000.000;22.042.732;255;2378;2633;weekdays;Lembab
125;05/05/2011;Summer;2011;May;0;Thrusday;Clear;18.825.847;2.209.585;444.167;19.791.263.999.999.900;614;3819;4433;weekdays;Kering
126;06/05/2011;Summer;2011;May;0;Friday;Clear;19.645.847;2.370.585;59.0;15.292.482;894;3714;4608;weekdays;Ideal
127;07/05/2011;Summer;2011;May;0;Saturday;Clear;21.32;2.563.105;54.125;10.750.150.000.000.000;1612;3102;4714;weekend;Ideal
128;08/05/2011;Summer;2011;May;0;Sunday;Clear;21.661.653;25.946.649.999.999.900;631.667;50.007.125;1401;2932;4333;weekend;Ideal
129;09/05/2011;Summer;2011;May;0;Monday;Clear;218.325;262.623;58.875;11.792;664;3698;4362;weekdays;Ideal
130;10/05/2011;Summer;2011;May;0;Tuesday;Clear;218.325;2.613.605;489.167;7.749.956.999.999.990;694;4109;4803;weekdays;Ideal
131;11/05/2011;Summer;2011;May;0;Wednesday;Clear;222.425;26.419.999.999.999.900;6.329.169.999.999.990;8.083.014;550;3632;4182;weekdays;Ideal
132;12/05/2011;Summer;2011;May;0;Thrusday;Clear;21.935.000.000.000.000;2.616.815;74.75;12.707.689;695;4169;4864;weekdays;Lembab
133;13/05/2011;Summer;2011;May;0;Friday;Misty;210.125;24.715;8.633.330.000.000.000;12.041.575;692;3413;4105;weekdays;Lembab
134;14/05/2011;Summer;2011;May;0;Saturday;Misty;21.354.153;2.503.145;92.25;9.041.649.999.999.990;902;2507;3409;weekend;Lembab
135;15/05/2011;Summer;2011;May;0;Sunday;Misty;230.625;26.8;8.670.830.000.000.000;10.249.593;1582;2971;4553;weekend;Lembab
136;16/05/2011;Summer;2011;May;0;Monday;Clear;23.677.500.000.000.000;275.256;7.879.169.999.999.990;8.500.357.000.000.000;773;3185;3958;weekdays;Lembab
137;17/05/2011;Summer;2011;May;0;Tuesday;Misty;23.028.347;26.926.450.000.000.000;837.917;18.582.718;678;3445;4123;weekdays;Lembab
138;18/05/2011;Summer;2011;May;0;Wednesday;Misty;22.55;263.579;87.0;13.499.964;536;3319;3855;weekdays;Lembab
139;19/05/2011;Summer;2011;May;0;Thrusday;Misty;21.764.153;25.537.100.000.000.000;829.583;7.250.271.000.000.000;735;3840;4575;weekdays;Lembab
140;20/05/2011;Summer;2011;May;0;Friday;Clear;22.003.347;264.521;719.583;8.375.871;909;4008;4917;weekdays;Lembab
141;21/05/2011;Summer;2011;May;0;Saturday;Clear;247.025;2.859.875;626.667;8.083.549.999.999.990;2258;3547;5805;weekend;Ideal
142;22/05/2011;Summer;2011;May;0;Sunday;Clear;24.770.847;28.725;749.583;9.916.536;1576;3084;4660;weekend;Lembab
143;23/05/2011;Summer;2011;May;0;Monday;Misty;25.898.346.999.999.900;295.148;81.0;15.667.413.999.999.900;836;3438;4274;weekdays;Lembab
144;24/05/2011;Summer;2011;May;0;Tuesday;Misty;27.060.000.000.000.000;30.240.650.000.000.000;740.833;13.875.164;659;3833;4492;weekdays;Lembab
145;25/05/2011;Summer;2011;May;0;Wednesday;Clear;27.094.153;307.771;69.625;10.333.611.000.000.000;740;4238;4978;weekdays;Lembab
146;26/05/2011;Summer;2011;May;0;Thrusday;Clear;29.041.653;327.344;67.75;13.376.014;758;3919;4677;weekdays;Lembab
147;27/05/2011;Summer;2011;May;0;Friday;Clear;27.948.347.000.000.000;318.504;65.375;16.125.493;871;3808;4679;weekdays;Lembab
148;28/05/2011;Summer;2011;May;0;Saturday;Clear;26.889.153;3.061.895;729.583;15.416.164;2001;2757;4758;weekend;Lembab
149;29/05/2011;Summer;2011;May;0;Sunday;Clear;273.675;30.777.500.000.000.000;81.875;14.333.846;2355;2433;4788;weekend;Lembab
150;30/05/2011;Summer;2011;May;1;Monday;Clear;30.066.653.000.000.000;335.546;68.5;8.792.075;1549;2549;4098;weekdays;Lembab
151;31/05/2011;Summer;2011;May;0;Tuesday;Clear;31.775.000.000.000.000;3.626.915;636.667;7.459.042.999.999.990;673;3309;3982;weekdays;Ideal
152;01/06/2011;Summer;2011;Jun;0;Wednesday;Misty;31.330.847.000.000.000;3.604.835;677.083;13.875.164;513;3461;3974;weekdays;Lembab
153;02/06/2011;Summer;2011;Jun;0;Thrusday;Clear;29.314.999.999.999.900;321.971;30.5;19.583.229.000.000.000;736;4232;4968;weekdays;Kering
154;03/06/2011;Summer;2011;Jun;0;Friday;Clear;25.419.999.999.999.900;29.356.650.000.000.000;354.167;16.959.107;898;4414;5312;weekdays;Kering
155;04/06/2011;Summer;2011;Jun;0;Saturday;Clear;26.035;297.348;45.625;8.250.514;1869;3473;5342;weekend;Ideal
156;05/06/2011;Summer;2011;Jun;0;Sunday;Misty;26.581.653.000.000.000;308.402;65.25;9.292.364.000.000.000;1685;3221;4906;weekend;Lembab
157;06/06/2011;Summer;2011;Jun;0;Monday;Clear;27.811.653;310.929;60.0;8.167.032;673;3875;4548;weekdays;Ideal
158;07/06/2011;Summer;2011;Jun;0;Tuesday;Clear;290.075;327.975;59.791.700.000.000.000;12.583.136;763;4070;4833;weekdays;Ideal
159;08/06/2011;Summer;2011;Jun;0;Wednesday;Clear;31.809.153;3.636.395;6.220.830.000.000.000;9.166.739;676;3725;4401;weekdays;Ideal
160;09/06/2011;Summer;2011;Jun;0;Thrusday;Misty;33.141.653;3.787.895;56.833.299.999.999.900;10.042.161;563;3352;3915;weekdays;Ideal
161;10/06/2011;Summer;2011;Jun;0;Friday;Clear;30.955.000.000.000.000;351.646;60.5;9.417.118;815;3771;4586;weekdays;Ideal
162;11/06/2011;Summer;2011;Jun;0;Saturday;Clear;29.724.999.999.999.900;33.901.900.000.000.000;6.545.830.000.000.000;10.374.949.999.999.900;1729;3237;4966;weekend;Lembab
163;12/06/2011;Summer;2011;Jun;0;Sunday;Clear;28.392.500.000.000.000;32.166.250.000.000.000;747.917;10.958.988.999.999.900;1467;2993;4460;weekend;Lembab
164;13/06/2011;Summer;2011;Jun;0;Monday;Clear;26.035;30.082.700.000.000.000;494.583;2.045.845;863;4157;5020;weekdays;Ideal
165;14/06/2011;Summer;2011;Jun;0;Tuesday;Clear;24.770.847;295.773;50.708.299.999.999.900;18.041.961;727;4164;4891;weekdays;Ideal
166;15/06/2011;Summer;2011;Jun;0;Wednesday;Clear;25.693.347;293.877;471.667;11.250.104;769;4411;5180;weekdays;Ideal
167;16/06/2011;Summer;2011;Jun;0;Thrusday;Misty;25.761.653.000.000.000;29.767.300.000.000.000;688.333;13.833.556.999.999.900;545;3222;3767;weekdays;Lembab
168;17/06/2011;Summer;2011;Jun;0;Friday;Clear;26.615.847.000.000.000;3.001.915;735.833;9.582.942.999.999.990;863;3981;4844;weekdays;Lembab
169;18/06/2011;Summer;2011;Jun;0;Saturday;Clear;28.563.347;32.197.700.000.000.000;670.417;8.000.336;1807;3312;5119;weekend;Lembab
170;19/06/2011;Summer;2011;Jun;0;Sunday;Misty;28.665.847;32.292.300.000.000.000;666.667;6.834;1639;3105;4744;weekend;Lembab
171;20/06/2011;Summer;2011;Jun;0;Monday;Misty;26.035;29.767.300.000.000.000;74.625;10.416.825;699;3311;4010;weekdays;Lembab
172;21/06/2011;Fall;2011;Jun;0;Tuesday;Misty;27.914.153.000.000.000;318.823;770.417;11.458.675.000.000.000;774;4061;4835;weekdays;Lembab
173;22/06/2011;Fall;2011;Jun;0;Wednesday;Clear;30.066.653.000.000.000;3.469.145;70.75;11.541.554;661;3846;4507;weekdays;Lembab
174;23/06/2011;Fall;2011;Jun;0;Thrusday;Misty;29.861.653;3.469.165;703.333;15.999.868;746;4044;4790;weekdays;Lembab
175;24/06/2011;Fall;2011;Jun;0;Friday;Clear;29.690.847;3.282.915;573.333;14.875.675;969;4022;4991;weekdays;Ideal
176;25/06/2011;Fall;2011;Jun;0;Saturday;Clear;28.494.999.999.999.900;3.216.565;483.333;14.041.257;1782;3420;5202;weekend;Ideal
177;26/06/2011;Fall;2011;Jun;0;Sunday;Clear;27.880.000.000.000.000;3.188.145;513.333;63.337.311;1920;3385;5305;weekend;Ideal
178;27/06/2011;Fall;2011;Jun;0;Monday;Misty;27.982.499.999.999.900;318.502;658.333;72.083.960.000.000.000;854;3854;4708;weekdays;Lembab
179;28/06/2011;Fall;2011;Jun;0;Tuesday;Clear;30.510.847.000.000.000;346.279;63.416.700.000.000.000;9.666.960.999.999.990;732;3916;4648;weekdays;Ideal
180;29/06/2011;Fall;2011;Jun;0;Wednesday;Clear;29.861.653;327.344;497.917;17.542.007;848;4377;5225;weekdays;Ideal
181;30/06/2011;Fall;2011;Jun;0;Thrusday;Clear;28.563.347;318.504;43.416.700.000.000.000;12.415.904.000.000.000;1027;4488;5515;weekdays;Kering
